"perf_metric","perf_metric_diff","pvalue","names","method","perf_metric_name","seed"
1,0,1,"V1448","glmnet","AUC",NA
1,0,1,"V1449","glmnet","AUC",NA
1,0,1,"V145","glmnet","AUC",NA
1,0,1,"V1450","glmnet","AUC",NA
1,0,1,"V1451","glmnet","AUC",NA
1,0,1,"V1452","glmnet","AUC",NA
1,0,1,"V1453","glmnet","AUC",NA
1,0,1,"V1454","glmnet","AUC",NA
1,0,1,"V1455","glmnet","AUC",NA
1,0,1,"V1456","glmnet","AUC",NA
1,0,1,"V1457","glmnet","AUC",NA
1,0,1,"V1458","glmnet","AUC",NA
1,0,1,"V1459","glmnet","AUC",NA
1,0,1,"V146","glmnet","AUC",NA
1,0,1,"V1460","glmnet","AUC",NA
1,0,1,"V1461","glmnet","AUC",NA
1,0,1,"V1462","glmnet","AUC",NA
1,0,1,"V1463","glmnet","AUC",NA
1,0,1,"V1464","glmnet","AUC",NA
1,0,1,"V1465","glmnet","AUC",NA
1,0,1,"V1466","glmnet","AUC",NA
1,0,1,"V1467","glmnet","AUC",NA
1,0,1,"V1468","glmnet","AUC",NA
1,0,1,"V1469","glmnet","AUC",NA
1,0,1,"V147","glmnet","AUC",NA
1,0,1,"V1470","glmnet","AUC",NA
1,0,1,"V1471","glmnet","AUC",NA
1,0,1,"V1472","glmnet","AUC",NA
1,0,1,"V1473","glmnet","AUC",NA
1,0,1,"V1474","glmnet","AUC",NA
1,0,1,"V1475","glmnet","AUC",NA
1,0,1,"V1476","glmnet","AUC",NA
1,0,1,"V1477","glmnet","AUC",NA
1,0,1,"V1478","glmnet","AUC",NA
1,0,1,"V1479","glmnet","AUC",NA
1,0,1,"V148","glmnet","AUC",NA
1,0,1,"V1480","glmnet","AUC",NA
1,0,1,"V1481","glmnet","AUC",NA
1,0,1,"V1482","glmnet","AUC",NA
1,0,1,"V1483","glmnet","AUC",NA
1,0,1,"V1484","glmnet","AUC",NA
1,0,1,"V1485","glmnet","AUC",NA
1,0,1,"V1486","glmnet","AUC",NA
1,0,1,"V1487","glmnet","AUC",NA
1,0,1,"V1488","glmnet","AUC",NA
1,0,1,"V1489","glmnet","AUC",NA
1,0,1,"V149","glmnet","AUC",NA
1,0,1,"V1490","glmnet","AUC",NA
